Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
,Barcode Scanner,OADMLB000738,2097,Acer,BS-C101 STAR,
,Barcode Scanner,RAOMLB003161,2096,HP,BS-C101 STAR,
,Barcode Scanner,PADMLB002504,2096,HP,BS-C101 STAR,
,Barcode Scanner,RBHNBT004825,NA,Acer,BS - L100N,
,UPS,20050601386,2094,Acer,U502A08H,
,BATTERY,,2093,Acer,HYTT SERIES,
,FG SCANNER,,2091,Dacty,FM 220,
ATHIRAMPUZHA,CPU,INA604XHB3,2090,BMT,HP 406 GT MT BUSINESS PC,
,MONITOR,6CM5521PCN,NA,Uniline,V192,
,CPU,INA604XH4D,NA,HP,HP 406 GT MT BUSINESS PC,
,MONITOR,6CM5521QQS,NA,HP,V192,
,DOT MATRIX PRINTER,Q7DY079421,2095,CANON,LX 310,
,LASER PRINTER,0AN2B8GHAB01SHY,2095,TVS,M2830DW,
,PASSBOOK PRINTER,NA,2094,Dacty,PR2 PLUS,
,CPU,1N130303B9,2094,Epson,,
,MONITOR,CNK24700F4,2093,Dlink,,
,LASER PRINTER,VNF6W04941,2092,Uniline,HP  LASERJET P1106,
,CPU,UXB1JSIO91I0328685,2092,Exide,M200-H110,
,MONITOR,MMLY0SS0047520B88F8507,2091,TVS,V196HQL,
,Fingerprint Scanner,C8R1BT15188,2091,TVS,Dactyscan84C,
,Iris Scanner,BA1801A025926,NA,TVS,BMT-20,
,Inkjet Printer,CN79A5G0RB,2089,Acer,Deskjet GT 5811,
,CAMERA,,2088,Acer,,
,FG SCANNER,54SAXXC 2444679,2087,Acer,MFS100,
,MONITOR,766051500219,2085,Dacty,HCM582,
,MONITOR,CNC5030SX4,NA,BMT,HSTND-1A05,
,MONITOR,CNC5070ZHN,NA,Uniline,HSTND-1A05,
GANDHI NAGAR,CPU,UXB1JSIO91I0328877,NA,HP,M200-H110,
,MONITOR,MMLY0SS0118500F5D28525,2090,HP,V196HQL,
,MONITOR 2,MMLY0SS0047520B8748507,2089,Acer,V196HQL,
,Fingerprint Scanner,C8R1BT15271,2089,Acer,Dactyscan84C,
,Iris Scanner,BA1801A026140,2088,Samsung,BMT-20,
,Inkjet Printer,CN78J5G0T006B8,2088,Acer,Deskjet GT 5811,
,CAMERA,,2087,HP,,
,UPS,18012260360444,2087,Epson,ARROW 600VA,
,CPU,UXVQNSI244J0260699,2086,Epson,M200-B350,
,MONITOR ,MMLY0SS0047520B86B8507,2085,HP,V196HQL,
,DOT MATRIX PRINTER,Q7DY098518,NA,Acer,LX 310,
,LASER PRINTER,VNFN113203,2084,Acer,LASERJET P1007,
,UPS,M11L21J00366,2083,Epson,HFD200-3,
,BATTERY,,2082,Epson,B2060,
,CPU,UXVTUSI333M2089200,2081,Smartline,VERITON M200-P500,
,MONITOR,MMLY7SS0282200541A859K,NA,Uniline,EV226HQL,
,PASSBOOK PRINTER,QAL6MT016286,NA,Acer,SPEED 40 PLUS,
,Barcode Scanner,OADMLB000729,NA,Acer,BS-C101 Star,
,Barcode Scanner,RVQMLB004574,2085,HP,BS-C101 Star,
,Barcode Scanner,UBUMLB001291,2084,HP,BS-C101 Star,
,Barcode Scanner,UAAMLB000254,2084,Acer,BS-C101 Star,
,CPU,INA604XH8G,2083,Acer,HP 406 G1 MT Bussiness PC,
,MONITOR,6CM5521QSH,2082,Acer,HP V192,
,LASER PRINTER,VNF3S00051,2082,Dacty,LASERJET M208dw,
AYMANAM,CPU,UD305SI00U40804A2B0700,2081,BMT,VERITON M200-P500,
,MONITOR,UR14701017408F88199F00,2081,Uniline,EV226HQL,
,DOT MATRIX PRINTER,Q7DY107431,2080,HP,LX 310,
,LASER PRINTER,NTNA513212,NA,HP,LBP6030B,
,PASSBOOK PRINTER,X7ZT004057,2079,CANON,PLQ-35,
,BAR CODE SCANNER,NBXMLB001235,2078,TVS,BS-C101 Star,
,UPS,10040133,2077,Dacty,AEM 1000,
,BATTERY,,2076,Epson,POWER SAFE PLUS,
OLASSA,CPU,UXVQNSI925L0494364,NA,Dlink,VERITON M200-B350,
,MONITOR,MMLXKSS0090500FAA94248,NA,Uniline,V206HQL,
,DOT MATRIX PRINTER,Q7DY111576,NA,Exide,LX 310,
,LASER PRINTER,VNF4H06857,2080,TVS,HP LASERJET  P1106,
,PASSBOOK PRINTER,QAL6MT016248,2079,TVS,SPEED 40 PLUS,
,BAR CODE SCANNER,OBZMLB001080,2078,TVS,BS-C101 Star,
,UPS,10040194,2078,Acer,AEM 1000,
,BATTERY,,2077,Acer,HYBT SERIES,
THALAYAZHAM,CPU,UXVQNSI244J0260721,2077,Acer,VERITON M200-B350,
,MONITOR,CNC102RL98,2076,Dacty,LE1851w,
,CPU,INA112XF4R,2075,BMT,HP PRO 3090 MT,
,MONITOR,MMLY0SS0118500F6228525,2075,Uniline,V196HQL,
,DOT MATRIX PRINTER,Q7DY079453,NA,HP,LX-310,
